best_epoch,training mae loss,validation mae loss,training time,validation time
1,311.69150347506263,"tensor(308.8714, dtype=torch.float64)",0:02:09,0:00:03
2,305.7823656288931,"tensor(301.2064, dtype=torch.float64)",0:01:55,0:00:03
3,300.2202063162365,"tensor(299.6718, dtype=torch.float64)",0:01:55,0:00:03
4,291.57157109437077,"tensor(298.9752, dtype=torch.float64)",0:01:55,0:00:03
5,279.0490202581615,"tensor(292.6930, dtype=torch.float64)",0:01:55,0:00:03
6,261.7162285386744,"tensor(276.6801, dtype=torch.float64)",0:01:54,0:00:03
7,238.5700597293725,"tensor(270.2743, dtype=torch.float64)",0:01:55,0:00:03
9,210.41179969432528,"tensor(238.7411, dtype=torch.float64)",0:01:54,0:00:03
10,200.56866621122376,"tensor(220.7442, dtype=torch.float64)",0:01:55,0:00:03
11,192.3655139601159,"tensor(213.8870, dtype=torch.float64)",0:01:55,0:00:03
12,180.93059157520184,"tensor(192.8961, dtype=torch.float64)",0:01:55,0:00:03
13,171.71295721240102,"tensor(189.9927, dtype=torch.float64)",0:01:55,0:00:03
14,164.42305036359824,"tensor(169.0549, dtype=torch.float64)",0:01:55,0:00:03
15,145.9960743665532,"tensor(164.2262, dtype=torch.float64)",0:01:55,0:00:03
17,127.12191673609489,"tensor(154.0563, dtype=torch.float64)",0:01:54,0:00:03
18,121.34842089678808,"tensor(141.3969, dtype=torch.float64)",0:01:54,0:00:03
21,115.21849302713927,"tensor(129.0537, dtype=torch.float64)",0:01:54,0:00:03
24,103.52157323037991,"tensor(124.5526, dtype=torch.float64)",0:01:54,0:00:03
25,99.94498692049396,"tensor(120.0386, dtype=torch.float64)",0:01:54,0:00:03
30,90.8777630725344,"tensor(117.9983, dtype=torch.float64)",0:01:54,0:00:03
31,87.50382303290777,"tensor(100.0581, dtype=torch.float64)",0:01:54,0:00:03
32,83.20332467582182,"tensor(94.4332, dtype=torch.float64)",0:01:55,0:00:03
34,80.96820895301866,"tensor(91.4240, dtype=torch.float64)",0:01:54,0:00:03
37,75.95265532220216,"tensor(86.7504, dtype=torch.float64)",0:01:54,0:00:03
41,79.2853662490187,"tensor(86.3819, dtype=torch.float64)",0:01:54,0:00:03
42,79.29075957065527,"tensor(84.1555, dtype=torch.float64)",0:01:55,0:00:03
46,64.32512564229765,"tensor(81.7524, dtype=torch.float64)",0:01:54,0:00:03
48,66.75203548235136,"tensor(79.4466, dtype=torch.float64)",0:01:54,0:00:03
51,70.20071672683929,"tensor(77.1642, dtype=torch.float64)",0:01:54,0:00:03
56,59.55470147373643,"tensor(73.8592, dtype=torch.float64)",0:01:54,0:00:03
57,62.41166561500198,"tensor(68.6640, dtype=torch.float64)",0:01:55,0:00:03
60,70.25196766782908,"tensor(67.8341, dtype=torch.float64)",0:01:54,0:00:03
61,72.54160274254102,"tensor(64.2286, dtype=torch.float64)",0:01:55,0:00:03
67,55.970183155850755,"tensor(63.3510, dtype=torch.float64)",0:01:54,0:00:03
76,64.96892868524617,"tensor(62.9238, dtype=torch.float64)",0:01:54,0:00:03
78,54.699934564889446,"tensor(62.6990, dtype=torch.float64)",0:01:54,0:00:03
79,51.099600012437826,"tensor(46.6704, dtype=torch.float64)",0:01:55,0:00:03
85,52.438248711153136,"tensor(45.1144, dtype=torch.float64)",0:01:54,0:00:03
92,47.994100500479306,"tensor(42.5477, dtype=torch.float64)",0:01:54,0:00:03
104,47.93153975950452,"tensor(36.8968, dtype=torch.float64)",0:01:54,0:00:03
160,44.86336674473562,"tensor(30.8414, dtype=torch.float64)",0:01:55,0:00:03
